vertex_id,row_num,type,type2,shape,gender
author_1714,1,TRUE,author,square,male
author_1716,2,TRUE,author,square,male
author_1891,3,TRUE,author,square,male
author_2024,4,TRUE,author,square,male
author_2025,5,TRUE,author,square,male
author_2288,6,TRUE,author,square,male
author_2289,7,TRUE,author,square,male
author_6471,8,TRUE,author,square,male
author_2290,9,TRUE,author,square,male
author_2877,10,TRUE,author,square,male
author_6472,11,TRUE,author,square,male
author_1717,12,TRUE,author,square,male
author_4877,13,TRUE,author,square,male
author_1715,14,TRUE,author,square,male
author_1892,15,TRUE,author,square,male
author_2878,16,TRUE,author,square,male
author_2879,17,TRUE,author,square,male
author_2938,18,TRUE,author,square,male
author_2939,19,TRUE,author,square,male
author_3875,20,TRUE,author,square,male
author_3889,21,TRUE,author,square,male
author_4876,22,TRUE,author,square,male
author_4322,23,TRUE,author,square,female
author_4874,24,TRUE,author,square,female
author_4875,25,TRUE,author,square,female
author_5567,26,TRUE,author,square,female
author_6511,27,TRUE,author,square,female
author_1890,28,TRUE,author,square,female
author_5304,29,TRUE,author,square,female
author_6506,30,TRUE,author,square,female
author_6797,31,TRUE,author,square,female
author_6903,32,TRUE,author,square,female
author_6905,33,TRUE,author,square,female
author_7211,34,TRUE,author,square,female
author_7315,35,TRUE,author,square,female
author_7323,36,TRUE,author,square,female
paper_1121,37,FALSE,paper,circle,NA
paper_1260,38,FALSE,paper,circle,NA
paper_1368,39,FALSE,paper,circle,NA
paper_1541,40,FALSE,paper,circle,NA
paper_1553,41,FALSE,paper,circle,NA
paper_2037,42,FALSE,paper,circle,NA
paper_2094,43,FALSE,paper,circle,NA
paper_2720,44,FALSE,paper,circle,NA
paper_3406,45,FALSE,paper,circle,NA
